Season,State,Area(hec),Production(Ton),Fertilizer,Pesticide,Yield(Ton/hector)
0,0,607358,398311,57802260.86,188280.98,0.780869565
1,0,174974,209623,16652275.58,54241.94,1.060434783
3,0,1743321,1647296,165911859.6,540429.51,0.941304348
2,42,1031530,2340493,98170710.1,319774.3,2.2335
3,42,53889,109350,5128616.13,16705.59,2.073846154
1,42,268044,762759,25509747.48,83093.64,2.829444444
2,23,105170,150101,10009028.9,32602.7,1.378571429
0,34,423121,751970,40268425.57,131167.51,1.837222222
1,34,1206829,3569520,114853915.9,374116.99,2.843888889
3,34,4270328,8915100,406407115.8,1323801.68,1.985555556
2,53,4945,11518,488566,1434.05,2.46
3,53,13961,30220,1379346.8,4048.69,2.555
1,53,5716,14863,564740.8,1657.64,2.55
0,0,594979,520605,58783925.2,172543.91,1.055652174
1,0,223913,446114,22122604.4,64934.77,1.685217391
3,0,1635230,2288114,161560724,474216.7,1.395652174
2,43,41000,104249,4050800,11890,2.54
3,43,15439,46925,1525373.2,4477.31,3.04
2,42,1079193,2599170,106624268.4,312965.97,2.310740741
3,42,51782,106072,5116061.6,15016.78,2.054285714
1,42,295830,951569,29228004,85790.7,2.99375
0,58,120217,235849,11877439.6,34862.93,1.856923077
1,58,57700,144872,5700760,16733,2.116153846
3,58,174714,346022,17261743.2,50667.06,1.937142857
2,23,105402,149742,10413717.6,30566.58,1.51
0,34,425002,740688,41990197.6,123250.58,1.751111111
1,34,1450473,4921984,143306732.4,420637.17,3.22
3,34,4028620,7653780,398027656,1168299.8,1.781666667
0,0,557220,514156,59137758.6,150449.4,1.094782609
1,0,294654,653783,31271629.02,79556.58,1.990434783
3,0,1793994,2692709,190396583.2,484378.38,1.501304348
2,43,40500,96281,4298265,10935,2.38
3,43,16213,43642,1720685.69,4377.51,2.69
0,58,121525,252876,12897448.25,32811.75,2.081538462
1,58,58021,144551,6157768.73,15665.67,2.292857143
3,58,170228,373259,18066297.64,45961.56,2.097142857
2,23,102482,156887,10876414.66,27670.14,1.605714286
3,23,3929,13846,416984.77,1060.83,1.755714286
2,53,25444,59433,2700371.72,6869.88,2.61
0,34,427155,827970,45333960.15,115331.85,1.868888889
1,34,1474338,4468400,156471491.9,398071.26,2.897222222
3,34,4248946,8463310,450940639,1147215.42,1.906666667
2,56,3003673,8233806,294870578.4,780954.98,2.7
3,56,1239053,4224208,121637833,322153.78,2.939090909
0,0,539665,557764,52978913.05,140312.9,1.197826087
1,0,329255,681027,32322963.35,85606.3,1.825217391
3,0,1777257,2759652,174473319.7,462086.82,1.581304348
2,43,41000,96568,4024970,10660,2.36
3,43,16207,45555,1591041.19,4213.82,2.81
2,42,1120549,2792657,110004295.3,291342.74,2.357407407
3,42,52005,106335,5105330.85,13521.3,2.064615385
1,42,310892,947744,30520267.64,80831.92,2.751304348
0,58,129752,260306,12737753.84,33735.52,1.938461538
1,58,55258,154606,5424677.86,14367.08,2.23
3,58,162445,336416,15947225.65,42235.7,2.042857143
2,23,102657,165907,10077837.69,26690.82,1.681428571
3,23,4003,13135,392974.51,1040.78,1.744285714
2,53,42779,103606,4199614.43,11122.54,2.605
0,34,393944,683950,38673482.48,102425.44,1.648333333
1,34,1401841,4541328,137618731,364478.66,3.021111111
3,34,3639538,7202760,357293445.5,946279.88,1.876111111
2,56,2426073,6500545,247774835.5,630778.98,2.627272727
3,56,1398674,4889246,142846575.6,363655.24,3.025909091
0,0,495698,487719,50625636.74,128881.48,1.120434783
1,0,325987,653036,33293052.31,84756.62,1.806521739
3,0,1714736,2713493,175125987.7,445831.36,1.600434783
2,43,32746,79071,3344348.98,8513.96,2.41
3,43,16637,47452,1699136.81,4325.62,2.85
2,42,1087967,2393946,111114069.7,282871.42,2.154814815
3,42,53480,99699,5461912.4,13904.8,1.840714286
1,42,276277,740400,28216170.01,71832.02,2.4368
0,58,116540,235838,11902230.2,30300.4,1.886923077
1,58,43850,105032,4478400.5,11401,2.151428571
3,58,161978,362634,16542813.14,42114.28,2.153571429
2,23,107761,188971,11005630.93,28017.86,1.751428571
2,53,26263,66868,2682240.19,6828.38,2.415
0,34,353048,731778,36056792.24,91792.48,2.094705882
1,34,1366273,4166145,139537461.5,355230.98,2.788823529
3,34,3783766,8917625,386436021.6,983779.16,2.235294118
2,56,2109301,5054013,199687525.7,527325.25,2.202727273
3,56,712766,2272773,67477557.22,178191.5,2.533636364
0,0,464497,444884,43973930.99,116124.25,1.076521739
1,0,327468,622358,31001395.56,81867,1.794347826
3,0,1748715,2670560,165550849.1,437178.75,1.545652174
2,43,33728,90072,3193029.76,8432,2.67
3,43,16441,44695,1556469.47,4110.25,2.72
0,58,112438,233217,10644505.46,28109.5,2.130769231
1,58,41079,111850,3888948.93,10269.75,2.212142857
3,58,157004,343792,14863568.68,39251,2.123571429
2,10,1516537,3577108,143570557.8,379134.25,2.884642857
0,34,384965,796652,36444636.55,96241.25,2.092777778
1,34,1406078,4198595,133113404.3,351519.5,2.747777778
3,34,4051084,9393991,383516122.3,1012771,2.221666667
2,56,2108904,5841539,208739317.9,506136.96,2.670909091
3,56,865734,3111263,85690351.32,207776.16,2.729090909
0,0,441143,430374,43664334.14,105874.32,1.118695652
1,0,319480,573189,31622130.4,76675.2,1.493913043
3,0,1769203,2877371,175115712.9,424608.72,1.618695652
2,43,35471,115996,3510919.58,8513.04,3.27
3,43,17330,54665,1715323.4,4159.2,3.15
2,42,944272,2100123,93464042.56,226625.28,2.133333333
3,42,54629,158046,5407178.42,13110.96,2.892
1,42,74998,292230,7423302.04,17999.52,3.8768
0,58,102770,220132,10172174.6,24664.8,2.140769231
1,58,37186,83239,3680670.28,8924.64,1.845
3,58,147384,266674,14588068.32,35372.16,1.960714286
2,23,109721,200703,10860184.58,26333.04,1.798571429
2,53,25065,67003,2480933.7,6015.6,2.993333333
2,10,1396651,3222776,138240516,335196.24,2.728214286
0,34,339753,719205,33628751.94,81540.72,2.131666667
1,34,1390148,4289454,137596849,333635.52,2.879444444
3,34,4126706,9653580,408461359.9,990409.44,2.283333333
2,42,1055061,2627561,114305308.7,221562.81,2.37
3,42,43861,144235,4751900.74,9210.81,3.388666667
1,42,209257,935326,22670903.38,43943.97,4.251666667
0,58,105349,241824,11413510.66,22123.29,2.271538462
1,58,35732,89752,3871204.88,7503.72,2.256923077
3,58,148893,335529,16131067.62,31267.53,2.175714286
0,23,32667,37766,3539142.78,6860.07,1.492857143
1,23,9224,37439,999328.16,1937.04,2.078333333
3,23,69659,118514,7546856.06,14628.39,1.792857143
2,10,1872822,5061622,202901535.5,393292.62,3.015172414
2,56,2526108,6376990,302930871.4,530482.68,2.549090909
3,56,1455643,5326634,174560708.6,305685.03,3.132272727
0,0,398316,398077,47766054.72,83646.36,1.132222222
1,0,314671,559969,37735346.32,66080.91,1.637692308
3,0,1707340,2594392,204744212.8,358541.4,1.502592593
2,42,1075993,2770413,129033080.6,225958.53,2.50962963
3,42,44944,97483,5389684.48,9438.24,2.2675
1,42,364244,1131350,43680140.48,76491.24,3.0144
0,58,98256,212520,11782859.52,20633.76,2.096923077
1,58,21857,59733,2621091.44,4589.97,2.345714286
3,58,155629,357734,18663029.68,32682.09,2.189285714
0,23,32678,43762,3918745.76,6862.38,1.597142857
1,23,9791,39910,1174136.72,2056.11,2.245
3,23,63602,124605,7627151.84,13356.42,1.971428571
2,10,2050455,5209433,245890563.6,430595.55,2.895517241
0,34,288129,605612,34552429.68,60507.09,2.116111111
1,34,1381957,4047038,165724283.4,290210.97,2.767222222
3,34,4112863,9858092,493214531,863701.23,2.317222222
2,53,5010,13285,639827.1,1102.2,2.64
3,53,12061,33581,1540310.31,2653.42,4.05
1,53,4574,13942,584145.54,1006.28,3.05
0,23,32679,44736,4173435.09,7189.38,1.641428571
3,23,9854,39940,1258454.34,2167.88,2.077142857
3,23,61752,115533,7886347.92,13585.44,1.852857143
2,56,2640870,6949186,337265507.7,580991.4,2.689090909
3,56,1337020,4922944,170750824.2,294144.4,3.036818182
0,0,379441,335708,48458410.11,83477.02,1.028148148
1,0,312471,630162,39905671.41,68743.62,1.837037037
3,0,1504647,1950144,192158468.4,331022.34,1.269259259
2,42,1066981,2723038,136264143.5,234735.82,2.428148148
3,42,44063,99796,5627285.73,9693.86,2.335333333
1,42,284632,822692,36350352.72,62619.04,2.6825
0,58,83859,191241,10709632.89,18448.98,2.270769231
1,58,35946,103571,4590663.66,7908.12,2.497857143
3,58,143724,346763,18354992.04,31619.28,2.286428571
2,10,1931397,6610607,246658710.9,424907.34,3.584827586
0,34,283859,575294,36251632.89,62448.98,2.001111111
1,34,1401233,4520656,178951466.4,308271.26,3.028888889
3,34,4001936,9649942,511087246.6,880425.92,2.291666667
2,53,4379,12878,584158.6,700.64,2.986666667
3,53,11411,28051,1522227.4,1825.76,3.02
1,53,4647,12395,619909.8,743.52,2.21
0,0,354115,347992,47238941,56658.4,1.082592593
1,0,322889,731851,43073392.6,51662.24,2.085925926
3,0,1646992,2238765,219708732.8,263518.72,1.36962963
2,42,1051466,2791181,140265564.4,168234.56,2.567586207
3,42,40325,86756,5379355,6452,2.255333333
1,42,324525,990578,43291635,51924,2.846923077
0,58,77533,168108,10342902.2,12405.28,2.07
1,58,45447,109277,6062629.8,7271.52,2.335714286
3,58,105958,251103,14134797.2,16953.28,2.252857143
2,10,1789170,5039954,238675278,286267.2,3.213793103
0,34,281618,565825,37567841.2,45058.88,1.956111111
1,34,1511593,4926105,201646506.2,241854.88,3.048888889
3,34,3926544,9227590,523800969.6,628247.04,2.261666667
2,53,4493,12290,642678.72,404.37,3
3,53,11306,24163,1617210.24,1017.54,2.82
1,53,4981,14263,712482.24,448.29,2.125
2,56,2803076,8379635,400951991,252276.84,2.913636364
3,56,1584140,5861498,226595385.6,142572.6,3.236818182
0,0,350649,374010,50156832.96,31558.41,1.117777778
