Season,State,Area(hec),Production(Ton),Yield(Ton/hector)
0,0,607358,398311,0.780869565
1,0,174974,209623,1.060434783
3,0,1743321,1647296,0.941304348
2,42,1031530,2340493,2.2335
3,42,53889,109350,2.073846154
1,42,268044,762759,2.829444444
2,23,105170,150101,1.378571429
0,34,423121,751970,1.837222222
1,34,1206829,3569520,2.843888889
3,34,4270328,8915100,1.985555556
2,53,4945,11518,2.46
3,53,13961,30220,2.555
1,53,5716,14863,2.55
0,0,594979,520605,1.055652174
1,0,223913,446114,1.685217391
3,0,1635230,2288114,1.395652174
2,43,41000,104249,2.54
3,43,15439,46925,3.04
2,42,1079193,2599170,2.310740741
3,42,51782,106072,2.054285714
1,42,295830,951569,2.99375
0,58,120217,235849,1.856923077
1,58,57700,144872,2.116153846
3,58,174714,346022,1.937142857
2,23,105402,149742,1.51
0,34,425002,740688,1.751111111
1,34,1450473,4921984,3.22
3,34,4028620,7653780,1.781666667
0,0,557220,514156,1.094782609
1,0,294654,653783,1.990434783
3,0,1793994,2692709,1.501304348
2,43,40500,96281,2.38
3,43,16213,43642,2.69
0,58,121525,252876,2.081538462
1,58,58021,144551,2.292857143
3,58,170228,373259,2.097142857
2,23,102482,156887,1.605714286
3,23,3929,13846,1.755714286
2,53,25444,59433,2.61
0,34,427155,827970,1.868888889
1,34,1474338,4468400,2.897222222
3,34,4248946,8463310,1.906666667
2,56,3003673,8233806,2.7
3,56,1239053,4224208,2.939090909
0,0,539665,557764,1.197826087
1,0,329255,681027,1.825217391
3,0,1777257,2759652,1.581304348
2,43,41000,96568,2.36
3,43,16207,45555,2.81
2,42,1120549,2792657,2.357407407
3,42,52005,106335,2.064615385
1,42,310892,947744,2.751304348
0,58,129752,260306,1.938461538
1,58,55258,154606,2.23
3,58,162445,336416,2.042857143
2,23,102657,165907,1.681428571
3,23,4003,13135,1.744285714
2,53,42779,103606,2.605
0,34,393944,683950,1.648333333
1,34,1401841,4541328,3.021111111
3,34,3639538,7202760,1.876111111
2,56,2426073,6500545,2.627272727
3,56,1398674,4889246,3.025909091
0,0,495698,487719,1.120434783
1,0,325987,653036,1.806521739
3,0,1714736,2713493,1.600434783
2,43,32746,79071,2.41
3,43,16637,47452,2.85
2,42,1087967,2393946,2.154814815
3,42,53480,99699,1.840714286
1,42,276277,740400,2.4368
0,58,116540,235838,1.886923077
1,58,43850,105032,2.151428571
3,58,161978,362634,2.153571429
2,23,107761,188971,1.751428571
2,53,26263,66868,2.415
0,34,353048,731778,2.094705882
1,34,1366273,4166145,2.788823529
3,34,3783766,8917625,2.235294118
2,56,2109301,5054013,2.202727273
3,56,712766,2272773,2.533636364
0,0,464497,444884,1.076521739
1,0,327468,622358,1.794347826
3,0,1748715,2670560,1.545652174
2,43,33728,90072,2.67
3,43,16441,44695,2.72
0,58,112438,233217,2.130769231
1,58,41079,111850,2.212142857
3,58,157004,343792,2.123571429
2,10,1516537,3577108,2.884642857
0,34,384965,796652,2.092777778
1,34,1406078,4198595,2.747777778
3,34,4051084,9393991,2.221666667
2,56,2108904,5841539,2.670909091
3,56,865734,3111263,2.729090909
0,0,441143,430374,1.118695652
1,0,319480,573189,1.493913043
3,0,1769203,2877371,1.618695652
2,43,35471,115996,3.27
3,43,17330,54665,3.15
2,42,944272,2100123,2.133333333
3,42,54629,158046,2.892
1,42,74998,292230,3.8768
0,58,102770,220132,2.140769231
1,58,37186,83239,1.845
3,58,147384,266674,1.960714286
2,23,109721,200703,1.798571429
2,53,25065,67003,2.993333333
2,10,1396651,3222776,2.728214286
0,34,339753,719205,2.131666667
1,34,1390148,4289454,2.879444444
3,34,4126706,9653580,2.283333333
2,42,1055061,2627561,2.37
3,42,43861,144235,3.388666667
1,42,209257,935326,4.251666667
0,58,105349,241824,2.271538462
1,58,35732,89752,2.256923077
3,58,148893,335529,2.175714286
0,23,32667,37766,1.492857143
1,23,9224,37439,2.078333333
3,23,69659,118514,1.792857143
2,10,1872822,5061622,3.015172414
2,56,2526108,6376990,2.549090909
3,56,1455643,5326634,3.132272727
0,0,398316,398077,1.132222222
1,0,314671,559969,1.637692308
3,0,1707340,2594392,1.502592593
2,42,1075993,2770413,2.50962963
3,42,44944,97483,2.2675
1,42,364244,1131350,3.0144
0,58,98256,212520,2.096923077
1,58,21857,59733,2.345714286
3,58,155629,357734,2.189285714
0,23,32678,43762,1.597142857
1,23,9791,39910,2.245
3,23,63602,124605,1.971428571
2,10,2050455,5209433,2.895517241
0,34,288129,605612,2.116111111
1,34,1381957,4047038,2.767222222
3,34,4112863,9858092,2.317222222
2,53,5010,13285,2.64
3,53,12061,33581,4.05
1,53,4574,13942,3.05
0,23,32679,44736,1.641428571
3,23,9854,39940,2.077142857
3,23,61752,115533,1.852857143
2,56,2640870,6949186,2.689090909
3,56,1337020,4922944,3.036818182
0,0,379441,335708,1.028148148
1,0,312471,630162,1.837037037
3,0,1504647,1950144,1.269259259
2,42,1066981,2723038,2.428148148
3,42,44063,99796,2.335333333
1,42,284632,822692,2.6825
0,58,83859,191241,2.270769231
1,58,35946,103571,2.497857143
3,58,143724,346763,2.286428571
2,10,1931397,6610607,3.584827586
0,34,283859,575294,2.001111111
1,34,1401233,4520656,3.028888889
3,34,4001936,9649942,2.291666667
2,53,4379,12878,2.986666667
3,53,11411,28051,3.02
1,53,4647,12395,2.21
0,0,354115,347992,1.082592593
1,0,322889,731851,2.085925926
3,0,1646992,2238765,1.36962963
2,42,1051466,2791181,2.567586207
3,42,40325,86756,2.255333333
1,42,324525,990578,2.846923077
0,58,77533,168108,2.07
1,58,45447,109277,2.335714286
3,58,105958,251103,2.252857143
2,10,1789170,5039954,3.213793103
0,34,281618,565825,1.956111111
1,34,1511593,4926105,3.048888889
3,34,3926544,9227590,2.261666667
2,53,4493,12290,3
3,53,11306,24163,2.82
1,53,4981,14263,2.125
2,56,2803076,8379635,2.913636364
3,56,1584140,5861498,3.236818182
0,0,350649,374010,1.117777778
1,0,360266,768582,1.951153846
3,0,1773211,2865843,1.607407407
2,42,1129883,2906761,2.513448276
3,42,40982,89072,2.514166667
1,42,343122,1035706,2.786923077
0,58,79381,192770,2.295384615
1,58,49762,148370,2.446428571
3,58,105122,249101,2.260714286
0,23,32570,41908,1.53
1,23,12752,46600,2.154285714
3,23,62723,115354,1.802857143
2,10,1931603,5183385,3.562580645
0,34,292444,604968,2.04
1,34,1556662,4358011,2.646666667
3,34,4086590,10074261,2.393888889
2,53,4650,13501,2.893333333
3,53,11178,25378,2.903333333
1,53,5098,13451,1.965
2,56,2062870,5956396,2.790909091
3,56,1377866,4881871,3.098636364
0,0,340830,334655,1.070740741
1,0,394442,859790,1.903703704
3,0,1762324,3213979,1.780740741
2,42,1102221,2734838,2.397931034
3,42,37747,84636,2.416666667
1,42,346510,1057933,2.806923077
0,58,77249,192050,2.303076923
1,58,49279,134005,2.385
3,58,107485,272284,2.286428571
0,23,32560,41798,1.542857143
1,23,12777,46943,2.171428571
3,23,62825,115388,1.802857143
2,10,1845553,5665258,3.539677419
2,53,4384,12602,2.673333333
3,53,10920,26585,3.446666667
1,53,4710,12773,2.7
0,0,307988,355825,1.272592593
1,0,398785,1027575,2.342222222
3,0,1830682,3649129,1.958888889
2,56,2921793,7509866,2.666818182
3,56,1829516,6909447,3.325909091
2,42,1129304,3192746,2.654
3,42,49700,117501,2.668333333
1,42,360062,1163725,2.935714286
0,58,70498.28,170262,2.236923077
1,58,51132.63,137465,2.48
3,58,91555.59,215011,2.202142857
0,23,32596,42492,1.53
3,23,12797,47413,2.077142857
3,23,62892,117116,1.828571429
2,53,4237,12794,3.046666667
3,53,10324,23489,2.856666667
1,53,2015,5831,2.49
0,0,276486,338015,1.268518519
1,0,393619,1080072,2.489615385
3,0,1875601,3297591,1.797037037
2,56,2873949,8563334,2.909090909
3,56,1221899,4328458,3.031818182
2,42,1117720,3218289,2.702666667
3,42,43192,94196,2.378181818
1,42,255223,869134,2.931428571
0,58,68134.83,171662,2.301538462
1,58,47290.01,149217,2.7
3,58,92734.9,248114,2.426428571
0,23,32605,43401,1.511428571
3,23,12836,54206,2.07
3,23,63434,125124,1.91
2,10,1903772,7458657,4.226451613
2,56,2487000,7167000,2.969545455
3,56,1141000,4344000,3.243636364
0,0,238178,308745,1.291481481
1,0,389140,1155877,2.7724
3,0,1857410,3655430,1.968888889
2,42,1048427,2667359,2.418333333
3,42,45326,109309,2.394615385
1,42,185162,587711,2.747777778
0,58,63232,161083,2.41
1,58,47294,134609,2.482142857
3,58,86751,212607,2.355
0,23,33000,66000,2.232857143
3,23,13267,56786,2.13
3,23,63484,142867,2.118571429
2,56,1705555,4356822,2.715384615
3,56,877885,3636603,3.408461538
0,0,223332,294440,1.386296296
1,0,399132,1189858,2.655925926
3,0,1880737,3709081,1.982592593
2,43,28330,80114,2.82
3,43,14490,46397,3.205
2,42,1035111,3057894,2.792666667
3,42,40896,102639,2.545833333
1,42,264028,892066,3.022962963
0,58,51922,141234,2.416923077
1,58,46865,137477,2.673571429
3,58,100824,285614,2.506428571
0,23,22569,48727,2.448571429
3,23,13444,58685,2.396363636
3,23,46424,111289,2.238571429
2,10,1725730,7115195,4.491935484
2,56,1634921,5097447,3.184615385
3,56,759034,3358137,3.541538462
0,0,196188,280693,1.531481481
1,0,416353,1224046,2.613076923
3,0,1882756,3717906,1.977777778
2,43,27840,81269,2.925
3,43,14130,39236,2.775
2,42,1000025,3057611,2.812333333
3,42,48096,118479,2.493846154
1,42,278414,851657,2.852
0,58,63981,161477,2.215384615
1,58,45188,146165,2.801428571
3,58,88990,254450,2.500714286
0,23,33102,76631,2.507272727
3,23,13620,62687,2.505454545
3,23,63601,158920,2.319090909
2,10,1794991,7949437,4.730322581
2,56,1398884,4115558,3.091538462
3,56,761911,3402713,3.671538462
2,53,3817,12250,2.273333333
3,53,8505,19587,2.47
1,53,3941,12049,2.225
0,0,191322,256729,1.398888889
1,0,404982,1141336,2.488076923
